Date,AT6,AT1,AT2,AT3,AT4,AT5,SWBC1,SWBC2,SWBC3,SWBC4,SWBC5,SWBC6,SWBC7,SWBC8,SWBC9,SWBC10,SWBC11,SWBC12,SWBC13,SWBC14,SWBC15
8/25/1990,23.26164875,1.277521763,-0.027240144,-0.640467657,-0.392197408,0.57646356,2.98547,0.050782,3.57784,3.661251,0.100554,4.500601,2.739467,2.273458,3.664902,4.051918,0.314582,2.890464,2.484895,0.38594,2.376212
8/26/1990,23.15412186,1.011264721,1.176344086,0.535074244,-0.580446037,1.20967742,2.998739,0.050782,3.64272,3.72406,0.100554,4.558363,2.779312,2.28496,3.690088,4.112194,0.314582,2.910166,2.499161,0.38594,2.406983
8/27/1990,24.34895833,3.753720235,2.271180553,-2.489666006,-1.309477883,2.790316357,2.998739,0.050782,3.64272,3.72406,0.100554,4.558363,2.779312,2.28496,3.690088,4.112194,0.314582,2.910166,2.499161,0.38594,2.406983
8/28/1990,25.38194444,4.389880954,3.626388889,-0.186838625,-1.500771605,2.55787037,2.998739,0.050782,3.64272,3.72406,0.100554,4.558363,2.779312,2.28496,3.690088,4.112194,0.314582,2.910166,2.499161,0.38594,2.406983
8/29/1990,20.61631945,1.648065476,1.782986113,-0.322833995,-1.564750515,2.221257716,2.998739,0.050782,3.64272,3.72406,0.100554,4.558363,2.779312,2.28496,3.690088,4.112194,0.314582,2.910166,2.499161,0.38594,2.406983
8/30/1990,18.68923611,-1.509176587,0.055902778,-0.927166005,-1.290187757,1.107536765,2.998739,0.050782,3.64272,3.72406,0.100554,4.558363,2.779312,2.28496,3.690088,4.112194,0.314582,2.910166,2.499161,0.38594,2.406983
8/31/1990,19.64409722,-1.14955357,-0.600347222,-0.713045636,-0.366190843,0.415702161,2.998739,0.050782,3.64272,3.72406,0.100554,4.558363,2.779312,2.28496,3.690088,4.112194,0.314582,2.910166,2.499161,0.38594,2.406983
6/1/1991,20.26143791,7.007469654,0.678104575,-1.284455811,-0.829097071,0.869076797,2.995652,0.833838,3.625561,4.436741,2.294752,4.018098,3.226348,4.845875,3.839066,3.742249,1.182092,3.834702,2.929139,1.101627,2.818289
6/2/1991,21.24183007,5.805322129,0.696958272,-0.376527422,-0.085330428,1.241830065,2.99576,0.833838,3.628457,4.439944,2.294752,4.018098,3.228353,4.84721,3.839898,3.742321,1.182092,3.835094,2.929893,1.101627,2.819416
6/3/1991,21.09477124,5.539215686,0.305882353,-0.257885763,0.981602518,-0.849673202,2.995768,0.833838,3.629232,4.441817,2.294752,4.018098,3.230391,4.84721,3.840533,3.742321,1.182092,3.835094,2.930104,1.101627,2.820586
6/4/1991,17.2630719,5.239262371,0.778029161,0.234086388,0.061425806,-0.155228758,2.995768,0.833838,3.631723,4.444132,2.294761,4.018098,3.23835,4.84721,3.843584,3.742335,1.182215,3.835094,2.931225,1.101627,2.825541
6/5/1991,15.31862745,3.453548084,-0.215560585,-1.360116511,-0.329520698,-0.449346405,2.995768,0.833838,3.631723,4.444132,2.294761,4.018098,3.23835,4.84721,3.843584,3.742335,1.182215,3.835094,2.931225,1.101627,2.825541
6/6/1991,16.14379085,2.453314659,-0.832704877,-1.054276783,0.001815541,-0.375816995,2.995768,0.833838,3.631723,4.444132,2.294761,4.018098,3.23835,4.84721,3.843584,3.742335,1.182215,3.835094,2.931225,1.101627,2.825541
6/7/1991,17.62254902,1.15429505,-0.668049273,-0.771170789,0.348886467,0.024509803,2.995768,0.833838,3.631723,4.444132,2.294761,4.018098,3.23835,4.84721,3.843584,3.742335,1.182215,3.835094,2.931225,1.101627,2.825541
6/8/1991,18.84803922,1.149626517,-0.318627451,-0.994955954,0.000302591,0.393178105,2.995768,0.833838,3.631723,4.444132,2.294761,4.018098,3.23835,4.84721,3.843584,3.742335,1.182215,3.835094,2.931225,1.101627,2.825541
6/9/1991,20.76797386,1.640989729,-0.994846657,-1.659562376,0.068385379,-0.27369281,2.995768,0.833838,3.631723,4.444132,2.294761,4.018098,3.23835,4.84721,3.843584,3.742335,1.182215,3.835094,2.931225,1.101627,2.825541
6/10/1991,21.49509804,0.423669466,-0.160884867,-1.524225633,-1.128358751,-0.253267974,2.995768,0.833838,3.631723,4.444132,2.294761,4.018098,3.23835,4.84721,3.843584,3.742335,1.182215,3.835094,2.931225,1.101627,2.825541
6/11/1991,19.95098039,0.546218486,1.606535947,-1.31713555,-2.662188333,1.519607841,2.995768,0.833838,3.631723,4.444132,2.294761,4.018098,3.23835,4.84721,3.843584,3.742335,1.182215,3.835094,2.931225,1.101627,2.825541
6/12/1991,20.69444445,6.091269844,1.378205129,-1.056763285,-0.272633744,1.200980393,2.995768,0.833838,3.631723,4.444132,2.294761,4.018098,3.23835,4.84721,3.843584,3.742335,1.182215,3.835094,2.931225,1.101627,2.825541
6/13/1991,19.8120915,6.32002801,-0.016968326,-2.612150921,-1.257867345,0.285947712,2.995768,0.833838,3.631723,4.444132,2.294761,4.018098,3.23835,4.84721,3.843584,3.742335,1.182215,3.835094,2.931225,1.101627,2.825541
6/14/1991,22.63071895,6.638655461,1.252513826,-1.056149733,-0.373396272,1.35620915,2.995884,0.833838,3.633737,4.444814,2.294761,4.029468,3.23835,4.84721,3.843965,3.75937,1.182215,3.835094,2.931244,1.101627,2.825589
